,timestamp,item,quantity
0,2021-03-01 07:00:00,loaves,10
1,2021-03-01 08:00:00,hand soap,25
2,2021-03-01 08:00:00,oranges,28
3,2021-03-01 08:00:00,hand soap,16
4,2021-03-01 08:00:00,toilet paper,17
5,2021-03-01 10:00:00,chicken,15
6,2021-03-01 10:00:00,coffee,21
7,2021-03-01 10:00:00,beans,1
8,2021-03-01 10:00:00,hand soap,21
9,2021-03-01 10:00:00,oranges,25
10,2021-03-01 10:00:00,cookies,4
11,2021-03-01 10:00:00,loaves,5
12,2021-03-01 11:00:00,coffee,5
13,2021-03-01 11:00:00,beans,14
14,2021-03-01 11:00:00,buns,26
15,2021-03-01 11:00:00,paper towels,16
16,2021-03-01 11:00:00,beans,4
17,2021-03-01 12:00:00,cookies,4
18,2021-03-01 12:00:00,shaving cream,7
19,2021-03-01 12:00:00,oranges,16
20,2021-03-01 12:00:00,chicken,8
21,2021-03-01 12:00:00,bananas,11
22,2021-03-01 12:00:00,shaving cream,30
23,2021-03-01 12:00:00,pork,15
24,2021-03-01 12:00:00,tilapia,13
25,2021-03-01 12:00:00,ketchup,26
26,2021-03-01 12:00:00,shaving cream,1
27,2021-03-01 13:00:00,chicken,19
28,2021-03-01 13:00:00,loaves,9
29,2021-03-01 13:00:00,beans,5
30,2021-03-01 13:00:00,cupcakes,7
31,2021-03-01 13:00:00,all purpose,22
32,2021-03-01 13:00:00,loaves,10
33,2021-03-01 13:00:00,dish soap,11
34,2021-03-01 14:00:00,toilet paper,14
35,2021-03-01 14:00:00,beef,3
36,2021-03-01 14:00:00,shampoo,6
37,2021-03-01 14:00:00,pork,25
38,2021-03-01 14:00:00,toilet paper,9
39,2021-03-01 15:00:00,dish soap,29
40,2021-03-01 15:00:00,cookies,3
41,2021-03-01 15:00:00,cupcakes,3
42,2021-03-01 15:00:00,tea,2
43,2021-03-01 15:00:00,shaving cream,28
44,2021-03-01 15:00:00,chicken,23
45,2021-03-01 16:00:00,pork,4
46,2021-03-01 16:00:00,tea,6
47,2021-03-01 16:00:00,toilet paper,25
48,2021-03-01 16:00:00,dish soap,29
49,2021-03-01 16:00:00,pork,30
